,bounding_boxes
13559,"[[995, 892, 814, 569]]"
13558,"[[420, 499, 657, 476]]"
13557,"[[412, 489, 643, 466]]"
13566,"[[1083, 972, 886, 619]]"
13717,"[[862, 1272, 934, 532]]"
13624,"[[484, 0, 456, 296]]"
13626,"[[476, 0, 447, 292]]"
13692,"[[551, 688, 1084, 356]]"
13691,"[[995, 1244, 1963, 646]]"
13690,"[[925, 1155, 1822, 600]]"
13689,"[[980, 1224, 1929, 635]]"
13688,"[[956, 549, 1057, 776]]"
13687,"[[140, 371, 1947, 763]]"
13686,"[[125, 333, 1753, 688]]"
13685,"[[1136, 483, 505, 1098]]"
13684,"[[1169, 497, 520, 1132]]"
13683,"[[1203, 510, 533, 1163]]"
13682,"[[1121, 476, 497, 1084]]"
13681,"[[1286, 1172, 476, 422]]"
13680,"[[1071, 975, 397, 352]]"
13679,"[[1803, 1643, 668, 592]]"
13678,"[[1120, 1020, 416, 369]]"
13677,"[[720, 880, 786, 426]]"
13676,"[[848, 618, 1250, 733]]"
13675,"[[1184, 862, 1746, 1023]]"
13674,"[[775, 564, 1143, 670]]"
13693,"[[276, 229, 235, 229]]"
13673,"[[793, 577, 1171, 685]]"
13694,"[[288, 240, 245, 240]]"
13696,"[[268, 224, 230, 224]]"
13715,"[[1427, 2105, 1546, 879]]"
13714,"[[1427, 2105, 1546, 879]]"
13713,"[[1629, 1263, 717, 542]]"
13712,"[[1811, 1405, 797, 602]]"
13711,"[[1654, 1078, 1033, 1017]]"
13710,"[[1554, 1013, 971, 956]]"
13709,"[[131, 604, 1669, 1221]]"
13708,"[[1000, 822, 478, 538]]"
13707,"[[1719, 1411, 820, 927]]"
13706,"[[1187, 976, 568, 639]]"
13705,"[[1151, 945, 549, 621]]"
13704,"[[690, 568, 330, 373]]"
13703,"[[1363, 1119, 650, 735]]"
13702,"[[1212, 995, 579, 654]]"
13701,"[[1131, 928, 539, 610]]"
13700,"[[285, 237, 242, 237]]"
13699,"[[327, 273, 279, 273]]"
13698,"[[307, 256, 263, 255]]"
13697,"[[246, 205, 210, 205]]"
13695,"[[301, 250, 258, 251]]"
13672,"[[773, 564, 1142, 669]]"
13671,"[[1654, 387, 1006, 1108]]"
13670,"[[1065, 249, 646, 713]]"
13645,"[[104, 231, 2298, 1244]]"
13644,"[[104, 231, 2307, 1250]]"
13643,"[[96, 214, 2127, 1153]]"
13642,"[[103, 229, 2276, 1232]]"
13641,"[[147, 324, 3224, 1746]]"
13640,"[[678, 875, 774, 349]]"
13639,"[[1439, 894, 1859, 1277]]"
13638,"[[720, 448, 931, 639]]"
13637,"[[478, 0, 449, 292]]"
13636,"[[484, 0, 456, 296]]"
13635,"[[480, 0, 453, 294]]"
13634,"[[474, 0, 447, 290]]"
13633,"[[478, 0, 451, 292]]"
13632,"[[483, 0, 454, 295]]"
13631,"[[478, 0, 449, 292]]"
13630,"[[391, 0, 369, 240]]"
13629,"[[483, 0, 454, 295]]"
13628,"[[482, 0, 453, 295]]"
13627,"[[477, 0, 448, 291]]"
13646,"[[101, 225, 2239, 1214]]"
13647,"[[151, 332, 3316, 1797]]"
13648,"[[163, 360, 3596, 1948]]"
13649,"[[134, 297, 2967, 1606]]"
13669,"[[1548, 362, 941, 1036]]"
13668,"[[1519, 355, 923, 1016]]"
13667,"[[1269, 298, 770, 848]]"
13666,"[[1275, 765, 930, 1532]]"
13665,"[[1267, 717, 963, 706]]"
13664,"[[1928, 1092, 1466, 1073]]"
13663,"[[1182, 670, 898, 657]]"
13662,"[[1259, 714, 958, 700]]"
13661,"[[1082, 777, 763, 894]]"
13625,"[[382, 0, 361, 234]]"
13660,"[[977, 669, 729, 610]]"
13658,"[[1058, 725, 789, 660]]"
13657,"[[1032, 706, 768, 644]]"
13656,"[[877, 599, 652, 547]]"
13655,"[[878, 601, 655, 548]]"
13654,"[[1037, 710, 772, 647]]"
13653,"[[1027, 704, 765, 641]]"
13652,"[[1155, 791, 861, 720]]"
13651,"[[1667, 683, 555, 911]]"
13650,"[[670, 522, 733, 494]]"
13659,"[[1082, 740, 806, 675]]"
13160,"[[663, 464, 1142, 1141]]"
13555,"[[423, 80, 1823, 892]]"
13158,"[[714, 1004, 940, 350]]"
12669,"[[944, 434, 1273, 1574]]"
12668,"[[948, 436, 1281, 1582]]"
12667,"[[966, 445, 1303, 1610]]"
12666,"[[1055, 485, 1424, 1761]]"
12665,"[[1913, 1479, 635, 449]]"
12664,"[[886, 778, 384, 341]]"
12663,"[[1231, 1080, 533, 474]]"
12662,"[[1394, 1223, 603, 536]]"
12661,"[[838, 736, 362, 322]]"
12660,"[[695, 610, 300, 268]]"
12659,"[[863, 756, 1318, 889]]"
12658,"[[870, 763, 1330, 896]]"
12657,"[[659, 577, 1004, 677]]"
12656,"[[1382, 1210, 2107, 1422]]"
12655,"[[848, 744, 1294, 873]]"
12654,"[[683, 598, 1042, 702]]"
12653,"[[835, 730, 1273, 858]]"
12652,"[[863, 756, 1318, 889]]"
12651,"[[807, 707, 1230, 829]]"
12670,"[[954, 439, 1289, 1592]]"
12650,"[[861, 754, 1314, 886]]"
12671,"[[1594, 734, 2154, 2660]]"
12673,"[[1444, 666, 1951, 2408]]"
12692,"[[336, 220, 1183, 1090]]"
12691,"[[353, 230, 1239, 1143]]"
12690,"[[341, 55, 583, 924]]"
12689,"[[363, 58, 621, 983]]"
12688,"[[976, 512, 1121, 1553]]"
12687,"[[923, 484, 1061, 1470]]"
12686,"[[843, 442, 969, 1342]]"
12685,"[[862, 451, 991, 1373]]"
12684,"[[916, 1115, 876, 500]]"
12683,"[[1001, 1218, 959, 546]]"
12682,"[[1221, 1068, 409, 427]]"
12681,"[[1249, 1092, 418, 436]]"
12680,"[[1339, 1170, 449, 467]]"
12679,"[[1166, 1019, 389, 407]]"
12678,"[[1386, 1213, 465, 483]]"
12677,"[[1072, 712, 919, 837]]"
12676,"[[1002, 667, 860, 784]]"
12675,"[[1146, 762, 982, 895]]"
12674,"[[1448, 667, 1955, 2417]]"
12672,"[[966, 445, 1303, 1610]]"
12649,"[[256, 279, 2111, 1305]]"
12648,"[[1603, 247, 2512, 3315]]"
12647,"[[1029, 159, 1613, 2128]]"
12622,"[[1096, 602, 252, 448]]"
12621,"[[1268, 695, 292, 519]]"
12620,"[[1298, 711, 299, 532]]"
12619,"[[928, 509, 214, 379]]"
12618,"[[1293, 709, 297, 530]]"
12617,"[[1146, 628, 264, 470]]"
12616,"[[1293, 709, 297, 530]]"
12615,"[[1101, 629, 618, 695]]"
12614,"[[1099, 627, 616, 693]]"
12613,"[[1099, 627, 616, 693]]"
12612,"[[1743, 996, 976, 1099]]"
12611,"[[1097, 627, 616, 693]]"
12610,"[[1083, 619, 607, 682]]"
12609,"[[1051, 601, 588, 663]]"
12608,"[[1273, 555, 421, 591]]"
12607,"[[1202, 1067, 499, 536]]"
12606,"[[1224, 1087, 510, 546]]"
12605,"[[1641, 1458, 683, 731]]"
12604,"[[400, 317, 1193, 1276]]"
12623,"[[1205, 660, 278, 494]]"
12624,"[[255, 345, 2246, 1204]]"
12625,"[[326, 439, 2870, 1538]]"
12626,"[[529, 829, 1540, 611]]"
12646,"[[1657, 255, 2595, 3424]]"
12645,"[[663, 595, 889, 798]]"
12644,"[[861, 895, 1071, 734]]"
12643,"[[859, 894, 1069, 733]]"
12642,"[[352, 154, 521, 452]]"
12641,"[[328, 143, 483, 420]]"
12640,"[[356, 157, 527, 457]]"
12639,"[[371, 162, 546, 475]]"
12638,"[[366, 160, 541, 470]]"
12693,"[[370, 242, 1298, 1197]]"
12637,"[[351, 154, 517, 448]]"
12635,"[[1415, 1285, 1859, 1004]]"
12634,"[[1037, 942, 1364, 737]]"
12633,"[[529, 829, 1540, 611]]"
12632,"[[519, 815, 1511, 598]]"
12631,"[[492, 774, 1436, 569]]"
12630,"[[469, 736, 1368, 542]]"
12629,"[[448, 704, 1307, 518]]"
12628,"[[379, 597, 1107, 439]]"
12627,"[[532, 834, 1547, 613]]"
12636,"[[1359, 1233, 1785, 963]]"
12603,"[[974, 676, 455, 356]]"
12694,"[[261, 170, 917, 846]]"
12696,"[[311, 202, 1092, 1006]]"
12762,"[[1116, 757, 1132, 1103]]"
12761,"[[1081, 733, 1097, 1068]]"
12760,"[[898, 544, 685, 382]]"
12759,"[[1079, 652, 822, 460]]"
12758,"[[1076, 650, 818, 458]]"
12757,"[[39, 31, 721, 463]]"
12756,"[[39, 31, 721, 463]]"
12755,"[[44, 36, 852, 546]]"
12754,"[[2159, 1432, 1321, 1161]]"
12753,"[[1266, 840, 775, 680]]"
12752,"[[1877, 1008, 752, 1258]]"
12751,"[[1213, 652, 487, 814]]"
12750,"[[1351, 726, 543, 907]]"
12749,"[[1265, 681, 507, 848]]"
12748,"[[1307, 703, 523, 875]]"
12747,"[[114, 189, 769, 366]]"
12746,"[[143, 239, 971, 464]]"
12745,"[[121, 201, 819, 392]]"
12744,"[[113, 188, 772, 367]]"
12763,"[[1644, 671, 631, 1006]]"
12743,"[[92, 153, 624, 297]]"
12764,"[[2457, 1004, 945, 1503]]"
12766,"[[1618, 661, 621, 989]]"
12785,"[[618, 344, 1064, 866]]"
12784,"[[1101, 713, 930, 750]]"
12783,"[[934, 606, 789, 636]]"
12782,"[[934, 606, 789, 636]]"
12781,"[[1179, 755, 1814, 1823]]"
12780,"[[451, 288, 693, 696]]"
12779,"[[368, 235, 565, 567]]"
12778,"[[876, 561, 1349, 1355]]"
12777,"[[549, 351, 846, 849]]"
12776,"[[1193, 762, 1833, 1843]]"
12775,"[[645, 414, 994, 998]]"
12774,"[[1005, 394, 721, 561]]"
12773,"[[578, 504, 1577, 749]]"
12772,"[[580, 506, 1585, 753]]"
12771,"[[1066, 742, 655, 628]]"
12770,"[[1488, 1038, 916, 877]]"
12769,"[[1104, 770, 678, 649]]"
12768,"[[729, 259, 1498, 1397]]"
12767,"[[1045, 372, 2149, 2004]]"
12765,"[[1569, 640, 603, 960]]"
12742,"[[1135, 697, 1081, 737]]"
12741,"[[1149, 704, 1095, 747]]"
12740,"[[1128, 693, 1076, 732]]"
12715,"[[1003, 925, 1159, 1081]]"
12714,"[[934, 862, 1080, 1007]]"
12713,"[[974, 897, 1124, 1049]]"
12712,"[[1, 12, 800, 678]]"
12711,"[[0, 11, 760, 644]]"
12710,"[[0, 16, 1058, 897]]"
12709,"[[0, 11, 713, 604]]"
12708,"[[0, 17, 1125, 954]]"
12707,"[[1, 17, 1123, 952]]"
12706,"[[1, 12, 811, 687]]"
12705,"[[1, 15, 1018, 864]]"
12704,"[[2, 19, 1272, 1078]]"
12703,"[[0, 17, 1092, 926]]"
12702,"[[0, 13, 807, 685]]"
12701,"[[1, 20, 1277, 1082]]"
12700,"[[1, 17, 1104, 937]]"
12699,"[[1, 12, 802, 680]]"
12698,"[[0, 12, 761, 644]]"
12697,"[[387, 254, 1363, 1256]]"
12716,"[[991, 914, 1146, 1069]]"
12717,"[[436, 520, 705, 312]]"
12718,"[[270, 321, 434, 192]]"
12719,"[[393, 469, 635, 281]]"
12739,"[[944, 580, 899, 613]]"
12738,"[[891, 548, 850, 580]]"
12737,"[[1086, 666, 1035, 706]]"
12736,"[[1124, 689, 1072, 731]]"
12735,"[[1034, 635, 985, 671]]"
12734,"[[928, 569, 886, 604]]"
12733,"[[1708, 750, 1947, 1619]]"
12732,"[[1145, 503, 1306, 1086]]"
12731,"[[8, 13, 2732, 1738]]"
12695,"[[544, 356, 1908, 1759]]"
12730,"[[8, 15, 2907, 1850]]"
12728,"[[8, 15, 2855, 1817]]"
12727,"[[8, 12, 2587, 1646]]"
12726,"[[11, 20, 3878, 2468]]"
12725,"[[2336, 1129, 575, 553]]"
12724,"[[3450, 1666, 850, 818]]"
12723,"[[2309, 1116, 569, 547]]"
12722,"[[1214, 597, 311, 301]]"
12721,"[[239, 285, 386, 171]]"
12720,"[[425, 508, 687, 303]]"
12729,"[[12, 21, 4318, 2748]]"
12786,"[[821, 456, 1414, 1152]]"
12602,"[[1187, 824, 554, 434]]"
12600,"[[847, 311, 3672, 1493]]"
12482,"[[769, 397, 564, 631]]"
12481,"[[1226, 634, 902, 1007]]"
12480,"[[1492, 771, 1098, 1226]]"
12479,"[[1162, 601, 855, 955]]"
12478,"[[771, 399, 567, 634]]"
12477,"[[1792, 926, 1317, 1473]]"
12476,"[[1775, 917, 1305, 1459]]"
12475,"[[928, 479, 681, 762]]"
12474,"[[1118, 577, 821, 917]]"
12473,"[[1556, 804, 1143, 1279]]"
12472,"[[1296, 904, 1424, 1534]]"
12471,"[[783, 547, 860, 927]]"
12470,"[[2098, 1462, 2302, 2483]]"
12469,"[[198, 168, 389, 263]]"
12468,"[[205, 176, 405, 275]]"
12467,"[[216, 184, 426, 290]]"
12466,"[[226, 192, 444, 302]]"
12465,"[[1037, 863, 787, 973]]"
12464,"[[1067, 889, 812, 1002]]"
12483,"[[1093, 1174, 1717, 1442]]"
12463,"[[1633, 1360, 1241, 1534]]"
12484,"[[652, 699, 1024, 861]]"
12486,"[[234, 120, 932, 744]]"
12505,"[[609, 63, 2356, 2037]]"
12504,"[[519, 53, 2010, 1737]]"
12503,"[[569, 59, 2201, 1902]]"
12502,"[[520, 54, 2015, 1740]]"
12501,"[[275, 28, 1062, 918]]"
12500,"[[587, 61, 2269, 1960]]"
12499,"[[388, 40, 1504, 1300]]"
12498,"[[762, 414, 967, 782]]"
12497,"[[858, 467, 1088, 879]]"
12496,"[[891, 484, 1128, 913]]"
12495,"[[229, 119, 914, 729]]"
12494,"[[168, 86, 670, 535]]"
12493,"[[148, 75, 588, 470]]"
12492,"[[246, 127, 977, 780]]"
12491,"[[165, 84, 656, 525]]"
12490,"[[149, 76, 592, 473]]"
12489,"[[148, 76, 588, 469]]"
12488,"[[116, 59, 461, 368]]"
12487,"[[167, 85, 661, 529]]"
12485,"[[149, 76, 592, 473]]"
12462,"[[1031, 860, 785, 969]]"
12461,"[[1334, 1110, 1013, 1253]]"
12460,"[[1026, 854, 780, 964]]"
12435,"[[1679, 1885, 1301, 770]]"
12434,"[[1009, 1133, 781, 462]]"
12433,"[[976, 1096, 757, 447]]"
12432,"[[992, 1114, 768, 456]]"
12431,"[[972, 1091, 753, 446]]"
12430,"[[686, 891, 1229, 799]]"
12429,"[[813, 1057, 1456, 947]]"
12428,"[[655, 852, 1175, 765]]"
12427,"[[697, 907, 1250, 814]]"
12426,"[[438, 570, 787, 511]]"
12425,"[[668, 629, 825, 702]]"
12424,"[[805, 758, 995, 846]]"
12423,"[[666, 626, 822, 700]]"
12422,"[[666, 626, 822, 700]]"
12421,"[[897, 845, 1110, 943]]"
12420,"[[1228, 1155, 1519, 1292]]"
12419,"[[659, 621, 816, 693]]"
13159,"[[655, 458, 1128, 1125]]"
12418,"[[638, 601, 790, 671]]"
12436,"[[965, 1086, 749, 443]]"
12437,"[[1881, 1708, 1426, 790]]"
12438,"[[1287, 1167, 975, 541]]"
12439,"[[763, 694, 580, 321]]"
12459,"[[1475, 1229, 1123, 1387]]"
12458,"[[933, 778, 709, 878]]"
12457,"[[909, 756, 691, 853]]"
12456,"[[1011, 842, 768, 949]]"
12455,"[[574, 970, 1294, 994]]"
12454,"[[527, 890, 1187, 911]]"
12453,"[[552, 933, 1242, 955]]"
12452,"[[94, 110, 829, 598]]"
12451,"[[1223, 780, 953, 483]]"
12506,"[[250, 25, 970, 838]]"
12450,"[[1189, 758, 926, 470]]"
12448,"[[1095, 698, 853, 434]]"
12447,"[[1083, 691, 842, 428]]"
12446,"[[1209, 1097, 916, 507]]"
12445,"[[1207, 1096, 915, 506]]"
12444,"[[1942, 1763, 1474, 815]]"
12443,"[[1857, 1687, 1410, 780]]"
12442,"[[893, 811, 678, 376]]"
12441,"[[1680, 1524, 1275, 706]]"
12440,"[[1280, 1162, 972, 538]]"
12449,"[[1221, 777, 949, 482]]"
12601,"[[1187, 824, 554, 434]]"
12507,"[[1177, 753, 434, 455]]"
12509,"[[1269, 811, 467, 491]]"
12575,"[[1033, 1128, 626, 544]]"
12574,"[[1659, 1437, 966, 728]]"
12573,"[[1783, 553, 2230, 1066]]"
12572,"[[942, 292, 1180, 563]]"
12571,"[[338, 204, 628, 465]]"
12570,"[[238, 143, 442, 328]]"
12569,"[[889, 556, 1111, 776]]"
12568,"[[1953, 920, 664, 444]]"
12567,"[[1361, 641, 462, 309]]"
12566,"[[736, 575, 1105, 1923]]"
12565,"[[723, 564, 1086, 1889]]"
12564,"[[763, 596, 1146, 1991]]"
12563,"[[724, 565, 1088, 1892]]"
12562,"[[720, 564, 1083, 1884]]"
12561,"[[757, 591, 1136, 1975]]"
12560,"[[693, 541, 1039, 1808]]"
12559,"[[645, 504, 970, 1685]]"
12558,"[[1086, 715, 378, 232]]"
12557,"[[672, 678, 931, 523]]"
12576,"[[833, 911, 506, 440]]"
12556,"[[767, 773, 1060, 596]]"
12577,"[[1587, 1733, 963, 837]]"
12579,"[[928, 1014, 563, 489]]"
12599,"[[982, 1020, 935, 860]]"
12598,"[[956, 991, 909, 836]]"
12597,"[[889, 923, 847, 779]]"
12596,"[[921, 957, 877, 806]]"
12595,"[[1027, 908, 901, 811]]"
12594,"[[1073, 949, 942, 846]]"
12593,"[[1109, 979, 972, 873]]"
12592,"[[1021, 901, 895, 804]]"
12590,"[[1062, 939, 932, 837]]"
12589,"[[1031, 909, 903, 812]]"
12588,"[[1030, 168, 1560, 1239]]"
12587,"[[1022, 167, 1547, 1231]]"
12586,"[[1008, 163, 1527, 1215]]"
12585,"[[1365, 222, 2065, 1642]]"
12584,"[[851, 139, 1289, 1024]]"
12583,"[[1044, 169, 1579, 1255]]"
12582,"[[854, 138, 1294, 1027]]"
12581,"[[1007, 163, 1525, 1213]]"
12580,"[[1590, 1739, 965, 840]]"
12578,"[[931, 1018, 566, 491]]"
12555,"[[97, 77, 737, 422]]"
12554,"[[84, 66, 640, 367]]"
12553,"[[114, 91, 876, 502]]"
12528,"[[1255, 1059, 576, 557]]"
12527,"[[1231, 1038, 563, 546]]"
12526,"[[1829, 1543, 838, 812]]"
12525,"[[1432, 950, 1612, 2343]]"
12524,"[[389, 676, 1974, 1363]]"
12523,"[[345, 598, 1744, 1204]]"
12522,"[[388, 675, 1969, 1358]]"
12521,"[[381, 661, 1928, 1331]]"
12520,"[[345, 599, 1747, 1205]]"
12519,"[[947, 867, 929, 1176]]"
12518,"[[1044, 957, 1027, 1298]]"
12517,"[[899, 824, 883, 1118]]"
12516,"[[999, 916, 982, 1241]]"
12515,"[[1451, 1330, 1424, 1802]]"
12514,"[[1260, 1153, 1237, 1564]]"
12513,"[[957, 877, 941, 1189]]"
12512,"[[1616, 1481, 1589, 2009]]"
12511,"[[907, 580, 334, 350]]"
12510,"[[1264, 806, 465, 489]]"
12529,"[[1795, 1516, 823, 796]]"
12530,"[[1260, 1065, 578, 558]]"
12531,"[[1085, 727, 1130, 993]]"
12532,"[[964, 647, 1004, 882]]"
12552,"[[132, 104, 1003, 575]]"
12551,"[[91, 73, 691, 397]]"
12550,"[[94, 76, 725, 415]]"
12549,"[[1098, 965, 497, 558]]"
12548,"[[1007, 887, 456, 513]]"
12547,"[[1181, 1039, 534, 602]]"
12546,"[[1390, 826, 1810, 680]]"
12545,"[[1390, 826, 1810, 680]]"
12544,"[[877, 520, 1141, 428]]"
12508,"[[1264, 806, 465, 489]]"
12543,"[[1234, 733, 1606, 603]]"
12541,"[[741, 441, 965, 362]]"
12540,"[[736, 738, 1641, 1197]]"
12539,"[[88, 33, 457, 281]]"
12538,"[[106, 39, 551, 338]]"
12537,"[[112, 41, 586, 360]]"
12536,"[[116, 43, 605, 372]]"
12535,"[[115, 43, 602, 369]]"
12534,"[[113, 42, 595, 364]]"
12533,"[[108, 40, 569, 348]]"
12542,"[[788, 468, 1027, 386]]"
12787,"[[629, 350, 1083, 883]]"
12591,"[[1024, 905, 898, 808]]"
12789,"[[616, 342, 1060, 865]]"
13041,"[[916, 210, 787, 1278]]"
13040,"[[952, 218, 818, 1329]]"
13039,"[[1490, 341, 1280, 2079]]"
13038,"[[1304, 298, 1118, 1817]]"
13037,"[[886, 203, 760, 1235]]"
13036,"[[911, 208, 783, 1272]]"
13035,"[[983, 224, 843, 1371]]"
13034,"[[840, 192, 720, 1170]]"
13033,"[[912, 209, 784, 1274]]"
13032,"[[908, 692, 604, 468]]"
13031,"[[805, 287, 1464, 1199]]"
13030,"[[619, 389, 1686, 998]]"
13029,"[[404, 253, 1097, 650]]"
13028,"[[790, 497, 2147, 1271]]"
13027,"[[783, 492, 2129, 1262]]"
13026,"[[473, 304, 1587, 719]]"
13025,"[[260, 212, 584, 438]]"
13024,"[[208, 168, 465, 349]]"
13023,"[[261, 213, 587, 440]]"
13042,"[[1345, 908, 886, 588]]"
13022,"[[245, 198, 548, 411]]"
13043,"[[1362, 919, 899, 597]]"
13045,"[[1026, 788, 604, 478]]"
13064,"[[107, 118, 444, 376]]"
13063,"[[176, 194, 728, 617]]"
13062,"[[193, 214, 800, 677]]"
13061,"[[168, 184, 690, 586]]"
13060,"[[181, 199, 744, 630]]"
13059,"[[186, 205, 765, 649]]"
13058,"[[185, 202, 760, 645]]"
13057,"[[186, 205, 765, 649]]"
13056,"[[154, 170, 636, 538]]"
13055,"[[187, 204, 768, 651]]"
13054,"[[194, 213, 798, 675]]"
13053,"[[110, 121, 450, 381]]"
13052,"[[162, 177, 666, 565]]"
13051,"[[975, 746, 573, 454]]"
13050,"[[1090, 836, 640, 507]]"
13049,"[[1060, 813, 624, 493]]"
13048,"[[1110, 852, 653, 516]]"
13047,"[[1057, 810, 620, 492]]"
13046,"[[985, 755, 578, 459]]"
13044,"[[803, 615, 471, 373]]"
13021,"[[227, 185, 512, 383]]"
13020,"[[130, 105, 290, 218]]"
13019,"[[119, 742, 1622, 613]]"
12994,"[[0, 467, 1951, 1487]]"
12993,"[[0, 471, 1967, 1501]]"
12992,"[[0, 418, 1748, 1332]]"
12991,"[[0, 662, 2772, 2112]]"
12990,"[[0, 402, 1680, 1280]]"
12989,"[[0, 369, 1545, 1177]]"
12988,"[[0, 632, 2647, 2018]]"
12987,"[[0, 638, 2667, 2032]]"
12986,"[[0, 474, 1983, 1512]]"
12985,"[[1254, 1124, 443, 694]]"
12984,"[[1227, 1100, 433, 679]]"
12983,"[[1785, 1598, 631, 988]]"
12982,"[[1229, 1101, 434, 680]]"
12981,"[[1260, 1129, 445, 698]]"
12980,"[[1137, 1019, 401, 629]]"
12979,"[[1244, 1115, 439, 688]]"
12978,"[[1172, 1049, 415, 649]]"
12977,"[[1183, 1059, 418, 654]]"
12976,"[[1658, 1485, 586, 918]]"
12995,"[[740, 865, 1439, 998]]"
12996,"[[800, 934, 1555, 1080]]"
12997,"[[715, 836, 1390, 965]]"
12998,"[[734, 857, 1426, 990]]"
13018,"[[121, 762, 1668, 630]]"
13017,"[[127, 800, 1748, 661]]"
13016,"[[116, 720, 1576, 596]]"
13015,"[[1069, 427, 716, 570]]"
13014,"[[1741, 696, 1164, 927]]"
13013,"[[1056, 422, 707, 561]]"
13012,"[[954, 381, 639, 508]]"
13011,"[[980, 392, 655, 521]]"
13010,"[[1702, 681, 1139, 906]]"
13065,"[[184, 203, 763, 646]]"
13009,"[[868, 346, 580, 461]]"
13007,"[[1315, 895, 1535, 837]]"
13006,"[[790, 539, 923, 502]]"
13005,"[[863, 586, 1005, 549]]"
13004,"[[1004, 684, 1170, 638]]"
13003,"[[806, 941, 1568, 1089]]"
13002,"[[692, 807, 1345, 934]]"
13001,"[[740, 865, 1439, 998]]"
13000,"[[731, 854, 1420, 987]]"
12999,"[[726, 848, 1415, 981]]"
13008,"[[874, 350, 584, 465]]"
12975,"[[816, 834, 960, 823]]"
13066,"[[184, 203, 759, 643]]"
13068,"[[1073, 954, 921, 859]]"
13135,"[[1777, 1146, 327, 242]]"
13134,"[[1447, 934, 265, 197]]"
13133,"[[1589, 1026, 293, 215]]"
13132,"[[1850, 1192, 339, 252]]"
13131,"[[436, 2063, 1672, 921]]"
13130,"[[262, 1247, 1011, 558]]"
13129,"[[705, 3338, 2706, 1492]]"
13128,"[[374, 1773, 1438, 791]]"
13127,"[[496, 600, 1230, 1004]]"
13126,"[[522, 628, 1290, 1055]]"
13125,"[[523, 631, 1297, 1060]]"
13124,"[[514, 619, 1269, 1037]]"
13123,"[[652, 787, 1614, 1318]]"
13122,"[[536, 646, 1328, 1084]]"
13121,"[[486, 587, 1204, 983]]"
13120,"[[487, 589, 1208, 987]]"
13119,"[[489, 589, 1211, 988]]"
13118,"[[1817, 1473, 1001, 772]]"
13117,"[[275, 584, 813, 542]]"
13136,"[[1818, 1172, 334, 247]]"
13116,"[[263, 560, 780, 519]]"
13137,"[[1080, 548, 1112, 690]]"
13139,"[[900, 925, 918, 579]]"
13157,"[[1139, 1599, 1500, 560]]"
13156,"[[1257, 1766, 1655, 617]]"
12788,"[[814, 453, 1402, 1143]]"
13155,"[[799, 1124, 1054, 394]]"
13154,"[[1097, 1541, 1445, 540]]"
13153,"[[854, 1201, 1125, 419]]"
13152,"[[828, 1163, 1090, 408]]"
13151,"[[748, 1053, 987, 369]]"
13150,"[[543, 462, 1901, 1474]]"
13149,"[[748, 637, 2617, 2029]]"
13148,"[[857, 729, 2997, 2324]]"
13147,"[[1627, 1250, 1284, 1366]]"
13146,"[[1327, 1020, 1049, 1116]]"
13145,"[[1062, 816, 839, 892]]"
13144,"[[897, 688, 707, 754]]"
13143,"[[1736, 1333, 1370, 1459]]"
13142,"[[897, 920, 914, 578]]"
13141,"[[1439, 1478, 1468, 928]]"
13140,"[[895, 919, 912, 577]]"
13138,"[[1195, 605, 1230, 764]]"
13115,"[[1161, 589, 972, 632]]"
13114,"[[1460, 1109, 928, 455]]"
13113,"[[821, 526, 1749, 927]]"
13088,"[[1303, 1089, 1070, 810]]"
13087,"[[989, 827, 814, 614]]"
13086,"[[845, 706, 695, 526]]"
13085,"[[912, 763, 750, 566]]"
13084,"[[995, 832, 819, 619]]"
13083,"[[1383, 1145, 267, 401]]"
13082,"[[1984, 1641, 382, 577]]"
13081,"[[1297, 1072, 249, 376]]"
13080,"[[1402, 1158, 270, 407]]"
13079,"[[2094, 1733, 404, 608]]"
13078,"[[2175, 1799, 420, 632]]"
13077,"[[2007, 1660, 387, 582]]"
13076,"[[1760, 904, 805, 678]]"
13075,"[[1606, 826, 735, 618]]"
13074,"[[1600, 821, 732, 616]]"
13073,"[[2693, 1385, 1232, 1036]]"
13072,"[[1461, 751, 669, 564]]"
13071,"[[674, 3, 674, 614]]"
13070,"[[691, 3, 691, 631]]"
13089,"[[449, 383, 1330, 886]]"
13090,"[[702, 600, 2085, 1386]]"
13091,"[[521, 444, 1545, 1029]]"
13092,"[[521, 444, 1545, 1029]]"
13112,"[[819, 525, 1745, 926]]"
13111,"[[1283, 824, 2735, 1449]]"
13110,"[[477, 306, 1020, 540]]"
13109,"[[1237, 638, 2578, 2389]]"
13108,"[[791, 408, 1648, 1527]]"
13107,"[[793, 410, 1652, 1530]]"
13106,"[[1322, 683, 2754, 2550]]"
13105,"[[816, 422, 1701, 1577]]"
13104,"[[326, 260, 375, 342]]"
13067,"[[1639, 1457, 1408, 1312]]"
13103,"[[253, 201, 290, 264]]"
13101,"[[793, 384, 1358, 878]]"
13100,"[[1054, 539, 916, 426]]"
13099,"[[1670, 855, 1453, 675]]"
13098,"[[1016, 519, 885, 411]]"
13097,"[[1020, 522, 888, 412]]"
13096,"[[1600, 818, 1393, 646]]"
13095,"[[1492, 764, 1298, 603]]"
13094,"[[892, 456, 775, 360]]"
13093,"[[1063, 983, 765, 467]]"
13102,"[[780, 377, 1334, 865]]"
12974,"[[787, 804, 926, 792]]"
13069,"[[491, 3, 491, 447]]"
